relpath,kind,project_refs,package_refs,size_bytes,sha256
CpuInterfaceBridge/HybridCpu_InterfaceBridge.csproj,csproj,..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\HybridCPU_ISE\HybridCPU_ISE.csproj,,1077,9af8c75dc1094e69956e3896a8e81b0f3cc1bd74664a20c562b2b920f6a1756e
Directory.Build.props,props,,,597,f53b6aef9b35297db15c8ec757e731137b182aff7acc9384ced8831c0030a77a
Documentation/Documentation.csproj,csproj,,,871,a5bab715fa1e6ba43be9d4951134fe75f3268ab59b5613c65c2b9d1a997590ec
forms/Directory.Build.props,props,$(MSBuildThisFileDirectory)..\HybridCPU_ISE\HybridCPU_ISE.csproj,,680,fe97e92805fd1e611e8b1cd124ed6845256bfeea48257ed359f4f15f84372a9c
forms/Form_Hybrid_CPU/Form_Hybrid_CPU.csproj,csproj,,,295,78386a4a7308a4cfa914dd68659246dd34190b197a3e94877f0090ab299c98e9
forms/Form_Main.CompileInit/Form_Main.CompileInit.csproj,csproj,,,297,467a096e720b719f0356701872b01419e22ca90e3b8215071856caf80e9dc4ae
forms/Form_Main.CompilerPipeline/Form_Main.CompilerPipeline.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,682,0da2249c308e7035902166d4eca192735a8200c6b48a99309a55efa696e6b238
forms/Form_Main.Core/Form_Main.Core.csproj,csproj,,,297,467a096e720b719f0356701872b01419e22ca90e3b8215071856caf80e9dc4ae
forms/Form_Main.CoreDetails/Form_Main.CoreDetails.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,542,1e864667a36c25d55b5f253242802dfad7aaed1c1f1904aa906ee9b832c56f0b
forms/Form_Main.CSRFlags/Form_Main.CSRFlags.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,542,1e864667a36c25d55b5f253242802dfad7aaed1c1f1904aa906ee9b832c56f0b
forms/Form_Main.ExtendedUI/Form_Main.ExtendedUI.csproj,csproj,,,297,467a096e720b719f0356701872b01419e22ca90e3b8215071856caf80e9dc4ae
forms/Form_Main.HazardLog/Form_Main.HazardLog.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_Compiler\HybridCPU_Compiler.csproj,,438,8c14e26299af4f00be337c76c1f6fd2d3e5fb8e7521d6e9976897303d56427b1
forms/Form_Main.IOView/Form_Main.IOView.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,542,1e864667a36c25d55b5f253242802dfad7aaed1c1f1904aa906ee9b832c56f0b
forms/Form_Main.MemorySubsystem/Form_Main.MemorySubsystem.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,566,55f987a9086c7f0b3f2f3918976e207d80f8a938d9095a2789814665de47af0a
forms/Form_Main.MemoryView/Form_Main.MemoryView.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,542,1e864667a36c25d55b5f253242802dfad7aaed1c1f1904aa906ee9b832c56f0b
forms/Form_Main.OpCodesViewAndEmulation/Form_Main.OpCodesViewAndEmulation.csproj,csproj,,,297,467a096e720b719f0356701872b01419e22ca90e3b8215071856caf80e9dc4ae
forms/Form_Main.SourceEditor/Form_Main.SourceEditor.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj;$(MSBuildThisFileDirectory)..\..\HybridCPU_Compiler\HybridCPU_Compiler.csproj,,516,812000c5933055e641ae582b9e122b14d2a316211fb147d835998b81109dae1f
forms/Form_Main.Statistics/Form_Main.Statistics.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,685,1d293feb1c08b10ba5e3643295fc977b251d1eaaa86bac10fbe217bb20a2418d
forms/Form_Main.StreamDMA/Form_Main.StreamDMA.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,403,b183635f10c39322dae10c0f3532d4b1c2eee1b5226ca5a51a16b88bc801a4e1
forms/Form_Main.VMXView/Form_Main.VMXView.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,403,b183635f10c39322dae10c0f3532d4b1c2eee1b5226ca5a51a16b88bc801a4e1
forms/New_Form_FSP_Scheduler/New_Form_FSP_Scheduler.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,542,1e864667a36c25d55b5f253242802dfad7aaed1c1f1904aa906ee9b832c56f0b
forms/New_Form_Pod_NoC/New_Form_Pod_NoC.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,569,bf58926215507072f521eb365829bbeeeb6d669421765a661f4e0c8fe0d97b8a
forms/New_Form_SafetyVerifier/New_Form_SafetyVerifier.csproj,csproj,$(MSBuildThisFileDirectory)..\..\HybridCPU_Compiler\HybridCPU_Compiler.csproj,,440,1d78d607f6e072cde3bfbd6508ee6b926071bbc2b12d3f593076cecab1542fff
forms/New_Form_SMT_ThreadViewer/New_Form_SMT_ThreadViewer.csproj,csproj,..\..\HybridCPU_ISE\HybridCPU_ISE.csproj,,513,d616599303ee6266278d281468f551aa280b1316ac390178d3f46ef35ad4d420
HybridCPU v2.slnx,slnx,,,2589,2f7d0645ffcde7975d0d2cf11c8f757b5a861dcdfadf112b0a650675efbceb87
HybridCPU_Compiler/HybridCPU_Compiler.csproj,csproj,..\HybridCPU_ISE\HybridCPU_ISE.csproj,,993,f3e6ec2f398b3fa2b6d416257509a820344945e8fb122085755527298880da1c
HybridCPU_EnvGUI/HybridCPU_EnvGUI.csproj,csproj,..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\HybridCPU_ISE\HybridCPU_ISE.csproj;..\CpuInterfaceBridge\HybridCpu_InterfaceBridge.csproj;..\forms\Form_Main.OpCodesViewAndEmulation\Form_Main.OpCodesViewAndEmulation.csproj;..\forms\Form_Hybrid_CPU\Form_Hybrid_CPU.csproj;..\forms\Form_Main.CompileInit\Form_Main.CompileInit.csproj;..\forms\Form_Main.Core\Form_Main.Core.csproj;..\forms\Form_Main.CSRFlags\Form_Main.CSRFlags.csproj;..\forms\Form_Main.ExtendedUI\Form_Main.ExtendedUI.csproj;..\forms\Form_Main.SourceEditor\Form_Main.SourceEditor.csproj;..\forms\Form_Main.MemoryView\Form_Main.MemoryView.csproj;..\forms\Form_Main.Statistics\Form_Main.Statistics.csproj;..\forms\Form_Main.CoreDetails\Form_Main.CoreDetails.csproj;..\forms\Form_Main.StreamDMA\Form_Main.StreamDMA.csproj;..\forms\Form_Main.IOView\Form_Main.IOView.csproj;..\forms\Form_Main.VMXView\Form_Main.VMXView.csproj;..\forms\New_Form_FSP_Scheduler\New_Form_FSP_Scheduler.csproj;..\forms\New_Form_Pod_NoC\New_Form_Pod_NoC.csproj;..\forms\New_Form_SafetyVerifier\New_Form_SafetyVerifier.csproj;..\forms\New_Form_SMT_ThreadViewer\New_Form_SMT_ThreadViewer.csproj;..\forms\Form_Main.CompilerPipeline\Form_Main.CompilerPipeline.csproj;..\forms\Form_Main.MemorySubsystem\Form_Main.MemorySubsystem.csproj;..\forms\Form_Main.HazardLog\Form_Main.HazardLog.csproj,,3416,df221c3d393c1cd0adcc306deb647de7c27f2af0252ceb0dfef4d665f4d4d6b6
HybridCPU_ISE.Tests/HybridCPU_ISE.Tests.csproj,csproj,..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\HybridCPU_ISE\HybridCPU_ISE.csproj;..\CpuInterfaceBridge\HybridCpu_InterfaceBridge.csproj,coverlet.collector:8.0.0;Microsoft.NET.Test.Sdk:18.4.0;xunit:2.9.3;xunit.runner.visualstudio:3.1.5,5455,41e7e7c21a1f295c168108be95d9a1a13752c08a8d3d4f4f678b94bdf4577e37
HybridCPU_ISE/HybridCPU_ISE.csproj,csproj,,,28285,3aa6aa19a3ed13a152cfad4d2e3c6185d8c1d2785deacdc12fbc685419612e26
MinimalAsmApp/MinimalAsmApp.csproj,csproj,..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\HybridCPU_ISE\HybridCPU_ISE.csproj,,426,0bfcf2a14c1ddfb3cde1a2b8dfe69fa3f4228ebf1cf2970251b774bdbabe53aa
ResearchPaper/ResearchPaper.csproj,csproj,,,391,b0cb6e2a59807e8a666787059ef23e7a2cb9b7225faf2b53cda0ff3d056ebf40
TestAssemblerConsoleApps/TestAssemblerConsoleApps.csproj,csproj,..\HybridCPU_Compiler\HybridCPU_Compiler.csproj;..\HybridCPU_ISE\HybridCPU_ISE.csproj,,1028,0961e751a525102001acafcf9de45e9914654bf308f0ef21fdf114d20a35fce8
